v	c	a	d	time	branch	n_der	n_tot	time_elapsed	iter	p
2	0	1	2	0.6334482758	c	13040	159924	149.75	10	0.0815387308971762
1	2	1	2	0.6334482758	c	133032	141693	173.6	10	0.938874891490758
1	0	1	2	0.6334482758	c	8667	142356	169.45	10	0.0608825760768777
0	1	2	2	0.6334482758	c	56609	113974	216.65	10	0.496683454121115
2	1	0	2	0.6334482758	c	57845	114241	209.85	10	0.506341856251258
1	1	0	2	0.6334482758	c	43723	88176	271.6	10	0.495860551624025
1	1	2	2	0.6334482758	c	44599	88537	273.9	10	0.50373290262828
0	0	2	1	0.6334482758	c	2736	73172	360.5	10	0.037391351883234
2	2	0	1	0.6334482758	c	69048	71807	369.65	10	0.961577562076121
2	1	1	2	0.6334482758	c	27437	53510	458.05	10	0.51274528125584
2	2	1	1	0.6334482758	c	43509	44798	591.6	10	0.971226394035448
0	1	1	2	0.6334482758	c	25852	52881	463.7	10	0.488871239197443
0	0	1	1	0.6334482758	c	1363	45391	582.6	10	0.0300279791148025
2	0	2	1	0.6334482758	c	4045	41885	640.25	10	0.0965739524889579
0	2	0	1	0.6334482758	c	38132	41975	630.05	10	0.908445503275759
1	0	0	1	0.6334482758	c	2233	42314	624.8	10	0.0527721321548424
1	2	2	1	0.6334482758	c	39454	41676	630.9	10	0.946683942796814
2	0	0	1	0.6334482758	c	2764	38836	676.3	10	0.0711710783808837
0	2	2	1	0.6334482758	c	36116	38822	687.25	10	0.930297254134254
1	2	0	1	0.6334482758	c	28233	30387	862.05	10	0.929114423931286
1	1	1	2	0.6334482758	c	17427	34902	697.35	10	0.499312360323191
1	0	2	1	0.6334482758	c	2099	30196	860.85	10	0.069512518214333
0	1	0	1	0.6334482758	c	7751	16374	1114.25	10	0.473372419689752
2	1	2	1	0.6334482758	c	8351	16195	1133.65	10	0.515652979314603
2	0	1	1	0.6334482758	c	1185	15198	1152.05	10	0.0779707856296881
